song_title,lyrics
DJ,"I'm home, lost my job and incurably ill
You think this is easy realism
I've got a girl out there, I suppose
I think she's dancing
Feel like Dan Dare lies down
I think she's dancing, what do I know?

I am a D.J., I am what I play
Can't turn around no, can't turn around, no, oh, ooh
I am a D.J., I am what I play
Can't turn around no, can't turn around, no, oh no
I am a D.J., I am what I play
I got believers believing me, oh

One more weekend 
Of lights and evening faces
Fast food, living nostalgia
Humble pie or bitter fruit

I am a D.J., I am what I play
Can't turn around no, can't turn around no, ooh
I am a D.J., I am what I say
Can't turn around no, can't turn around, ooh
I am a D.J., I am what I play
I've got believers believing me

I am a D.J., I am what I play
Can't turn around no, can't turn around
I am a D.J., I am what I play
Can't turn around no, can't turn around
I am a D.J., I am what I play
Can turn around no

Time flies when you're having fun
Break his heart, break her heart
He used to be my boss and millions of puppet dancer
I am a D.J., and I've got believers

I've got believers 
I've got believers
I've got believers in me
I've got believers
I am a D.J., I am what I play
I am a D.J."
Up the Hill Backwards,"The vacuum created by the arrival of freedom
And the possibilities it seems to offer
It's got nothing to do with you, if one can grasp it
It's got nothing to do with you, if one can grasp it

A series of shocks - sneakers fall apart
Earth keeps on rolling - witnesses falling
It's got nothing to do with you, if one can grasp it
It's got nothing to do with you, if one can grasp it

Yeah, yeah, yeah - up the hill backwards
It'll be all right

While we sleep they go to work
We're legally crippled it's the death of love
It's got nothing to do with you, if one can grasp it
It's got nothing to do with you, if one can grasp it

More idols than realities
I'm OK, you're so-so
It's got nothing to do with you, if one can grasp it
It's got nothing to do with you, if one can grasp it

Yeah, yeah, yeah - up the hill backwards
It'll be all right ooh-ooh"
Because You're Young,"Psychodelicate girl - come out to play
Little metal faced-boy - don't stay away
They're so war-torn and resigned she can't talk any
More
What are they trying to prove?
What would they like to find?

It's love back to front and no sides - like I say
These pieces are broken - like I say
These pieces are broken
Hope I'm wrong but I know

Because you're young - you'll meet a stranger some night
Because you're young - what could be nicer for you and it makes me sad
So I'll dance my life away
A million dreams, a million scars

He punishes hard - was loving her such a crime
She took back everything she said
Left him nearly out of his mind
They're people I know - people I love
They seem so unhappy - dead or alive

It's love back to front and no sides - like I say
These pieces are broken - like I say
These pieces are broken
Hope I'm wrong but I know

Because you're young - you'll meet a stranger some night
Because you're young - what could be nicer for you and it I'll make me sad
So I'll dance my life away
A million dreams, a million scars
A million
A million scars
A million
A million dreams
A million
A million
A million
A million
A million"
Fashion,"There's a brand new dance but I don't know it's name
That people from bad homes do again and again
It's big and it's bland, full of tension and fear
They do it over there but we don't do it here

Fashion, turn to the left
Fashion, turn to the right
Ooh, fashion
We are the goon squad and we're coming to town
Beep-beep, beep-beep

Listen to me, don't listen to me
Talk to me, don't talk to me
Dance with me, don't dance with me
No, beep-beep

There's a brand new talk but it's not very clear (ooh, bop)
That people from good homes are talking this year (ooh, bop, fashion)
It's loud and it's tasteless, I've not heard it before (ooh, bop)
Shout it while you're dancing on the dance floor (ooh, bop, fashion)

Fashion, turn to the left
Fashion, right
Fashion
We are the goon squad and we're coming to town
Beep-beep, beep-beep

Listen to me, don't listen to me
Talk to me, don't talk to me
Dance with me, don't dance with me
No, beep-beep... beep-beep

Ooh, bop, do-do-do-do-do-do-do-do
Fa fa fa fa fashion
Ooh, bop, do-do-do-do-do-do-do-do
Fa fa fa fa fashion, la-la-la-la la la la la la

Ooh, bop, do-do-do-do-do-do-do-do
Fa fa fa fa fashion
Ooh, bop, do-do-do-do-do-do-do-do
Fa fa fa fa fashion, la-la-la-la la la la la

Ooh, bop, do-do-do-do-do-do-do-do
Fa fa fa fa fashion
Ooh, bop, do-do-do-do-do-do-do-do
Fa fa fa fa fashion, la-la la la la la la

Ooh, bop, do-do-do-do-do-do-do-do
Fa fa fa fa fashion
Ooh, bop, do-do-do-do-do-do-do-do
Fa fa fa fa fashion, la-la-la-la la la la la la"
Scream Like a Baby,"Well I wouldn't buy no merchandise
And I wouldn't go to war
And I mixed with other colours
But the nurse doesn't care
And I hide under blankets
Or did I run away
I really can't remember
Last time I saw the light of day

But I remember Sam 'cause he was like me

Screaming like a baby
Sam was a gun
And I never knew his last name
And we never had no fun

Well they came down hard on the faggots
And they came down hard on the street
They came down harder on Sam
And they all knew he was beat
He was thrown into the wagon
Blindfolded, chains, and they stomped on us
And took away our clothes and things
And pumped us full of strange drugs
And oh I saw Sam falling
Spitting in their eyes
But now I lay me down to sleep
And now I close my eyes

Now I'm learning to be a part of soc-society
Soc socie s

Scream like a baby
Sam was a gun
And I never knew his last name
And we never had no fun

No athletic program, no discipline, no book
He just sat in the backseat swearing he'd seek revenge
But he jumped into the furnace
Singing old songs we loved

Scream like a baby
Sam was a gun
And I never knew his last name
And we never had no fun
Scream like a baby
Sam was a gun
And I never knew his last name
And we never had no fun"
Teenage Wildlife,"Well, how come you only want tomorrow
With its promise of something hard to do
A real life adventure worth more than pieces of gold
Blue skies above, sun on your arms strength in your stride
And hope in those squeaky clean eyes
You'll get chilly receptions everywhere you go
Blinded with desire - I guess the season is on

So you trade by shadow boxing, search for the truth
But it's all, but it's all used up
Break open your million dollar weapon
And push your luck, still you push, still you push your luck
A broken nosed mogul are you
One of the new wave boys

Same old thing in brand new drag
Comes sweeping into view, oh-ooh
As ugly as a teenage millionaire
Pretending it's a whizz kid world
You'll take me aside, and say
""Well, David, what shall, shall I do?
They wait for me in the hallway""
I'll say ""Don't ask me, I don't know any hallways""
But they move in numbers and they've got me in a corner
And I feel like a group of one, no-no
They can't do this to me
I'm not some piece of teenage wildlife

Those midwives to history put on their bloody robes
And the word is that the hunted one is out there on his own
And you're alone for maybe the last time
And you breathe for a long time
Then you howl like a wolf in a trap
And you daren't look behind

You fall to the ground like a leaf from the tree
And look up one time at that vast blue sky
Scream out aloud as they shoot you down
No no, I'm not a piece of teenage wildlife
I'm not a piece of teenage wildlife

And no one will have seen and no one will confess
The fingerprints will prove that you couldn't pass the test
There'll be others on the line filing past, who'll whisper low
'I miss you he had to go'
Well each to his own, he was
Another piece of teenage wildlife, oh-oh-oh-oh
Another piece of teenage wildlife, oh-oh-oh-oh
Another piece of teenage wild...
Life
Wild - Life
Wild - Life
Wild - Life"
Scary Monsters (And Super Creeps),"She had an horror of rooms she was tired you can't hide beat
When I looked in her eyes they were blue but nobody home
She could've been a killer if she didn't walk the way she do, and she do
She opened strange doors that we'd never close again

She began to wail jealousies scream
Waiting at the light know what I mean

Scary monsters, super creeps
Keep me running, running scared
Scary monsters, super creeps
Keep me running, running scared

She asked me to stay and I stole her room
She asked for my love and I gave her a dangerous mind
Now she's stupid in the street and she can't socialise
Well I love the little girl and I'll love her till the day she dies

She wails
Jimmy's guitar sound jealousies scream
Waiting at the light know what I mean

Scary monsters, super creeps
Keep me running, running scared
Scary monsters, super creeps
Keep me running, running scared

Scary monsters, super creeps
Keep me running, running scared
Scary monsters, super creeps
Keep me running, running scared

Oh oh woh-oh
Oh, oh-oh-oh oh
Oh oh oh, oh oh"
Ashes to Ashes,"Do you remember a guy that's been
In such an early song?
I've heard a rumour from ground control
Oh no, don't say it's true

They got a message from the action man:
""I'm happy, hope you're happy, too
I've loved all I've needed love
Sordid details following""

The shrieking of nothing is killing just
Pictures of Jap girls in synthesis and I
Ain't got no money and I ain't got no hair
But I'm hoping to kick but this planet is glowing, glowing, glowing, glowing, glowing...

Ashes to ashes, funk to funky
We know Major Tom's a junkie
Strung out in Heaven's high
Hitting an all-time low

Time and again, I tell myself
I'll stay clean tonight
But the little green wheels are following me
Oh no, not again
I'm stuck with a valuable friend
I'm happy, hope you're happy, too
One flash of light but no smoking pistol

I've never done good things
I've never done bad things
I never did anything out of the blue, woh-o-oh
Want an axe to break the ice
Wanna come down right now

Ashes to ashes, funk to funky
We know Major Tom's a junkie
Strung out in Heaven's high
Hitting an all-time low

My mother said, ""To get things done
You'd better not mess with Major Tom""
My mother said, ""To get things done
You'd better not mess with Major Tom""
My mother said, ""To get things done
You'd better not mess with Major Tom""
My mother said, ""To get things done
You'd better not mess with Major Tom""
My mother said..."
Cat People (Putting Out Fire),"See these eyes so green
I can stare for a thousand years
Colder than the moon
It's been so long

Feel my blood enraged
It's just the fear of losing you
Don't you know my name
Well, you been so long

And I've been putting out fire
With gasoline

See these eyes so red
Red like jungle burning bright
Those who feel me near
Pull the blinds and change their minds
It's been so long

Still this pulsing night
A plague I call a heartbeat
Just be still with me
Well you wouldn't believe what I've been through
You've been so long
Well it's been so long

And I've been putting out fire
With gasoline
Putting out fire
With gasoline

See these tears so blue
An ageless heart
That can never mend
These tears can never dry
A judgement made
Can never bend

See these eyes so green
I can stare for a thousand years
Just be still with me
You wouldn't believe what I've been through

You've been so long
Well, it's been so long
And I've been putting out fire
With gasoline
Putting out fire with gasoline

Been so long
Been so long
Well it's been so long
Been so long
I've been putting out fire
Been so long
And it's been so long
Been putting out fire
Well it's Been so long so long so long
Yes it's been so long so long so long
I've been putting out fire
Been so long so long so long
And putting out fire
Been so long so long so long
Yeah yeah putting out fire
Been so long so long so long
Been putting out fire
Been so long so long so long
Yeah putting out fire
Been so long so long so long
Putting out fire
Been so long so long so long
It's been so long
Been so long so long so long
It's been so long
Been so long so long so long
It's been so long
Been so long so long so long
I've been putting out fire
Been so long so long so long"
Shake It,"I feel like a sail-boat
Adrift on the sea
It's a brand new day
So when you gonna phone me

I could take you to heaven
I could spin you to hell
But I'll take you to New York
It's the place that I know well

Sitting on a flagstone talking to a faceless girl
And I wondering what to say but my eyes do the talking so well

Duck and I sway - what's my line
Shoot at a full moon - what's my line
So what's my line - shake it baby

Cause love is the answer
Love's talking to me
I'd scream and I'll fight for you
You're better than money

We're the kind of people who can shake it if we're feeling blue
When I'm feeling disconnected well I sure know what to do

Shake it baby
Ah shake it shake it
I duck and I sway - what's my line
I shoot at a full moon - what's my line
So what's my line - shake it shake it baby
Shake shake it
Shake it baby
Shake shake it
Shake it baby
Shake it shake it"
China Girl,"Oh oh oh oh, little China girl
Oh oh oh oh, little China girl

I could escape this feeling with my China girl
I feel a wreck without my little China girl
I hear her heart beating loud as thunder
Saw these stars crashing

I'm a mess without my little China girl
Wake up in the morning where's my little China girl
I hear her heart's beating loud as thunder
I saw the stars crashing down

I feel tragic like I'm Marlon Brando
When I look at my China girl
And I could pretend nothing really meant too much
When I look at my China girl

I stumble into town just like a sacred cow
Visions of swastikas in my head
Plans for everyone
It's in the white of my eyes

My little China girl
You shouldn't mess with me
I'll ruin everything you are
You know
I'll give you television
I'll give you eyes of blue
I'll give you a man who wants to rule the world

And when I get excited
My little China girl says
""Oh baby, just you shut your mouth""
She says, ""shh""
She says, ""shh""
She says
She says

And when I get excited
My little China girl says
""Oh baby, just you shut your mouth""
And when I get excited
My little China girl says
""Oh baby, just you shut your mouth""
She says, ""shh""
She says

Oh oh oh oh, little China girl
Oh oh oh oh, little China girl
Oh oh oh oh, little China girl
Oh oh oh oh, little China girl
Oh oh oh oh"
Ricochet,"Like weeds on a rockface waiting for the scythe 
Ricochet - ricochet
The world is on a corner waiting for jobs 
Ricochet - ricochet
Turn the holy pictures so they face the wall
And who can bear to be forgotten
And who can bear to be forgotten

March of flowers, march of dimes
These are the prisons, these are the crimes
Men wait for news while thousands are still asleep
Dreaming of tramlines factories pieces of machinery
Mine shafts things like that
March of flowers, march of dimes
These are the prisons, these are the crimes
Sound of thunder, sound of gold
Sound of the devil breaking parole
Ricochet - it's not the end of the world

Sound of thunder, sound of gold
Sound of the devil breaking parole 
Ricochet - ricochet
These are the prisons these are the crimes
Teaching life in a violent new way 
Ricochet - ricochet
Turn the holy pictures so they face the wall
And who can bear to be forgotten
And who can bear to be forgotten

March of flowers, march of dimes
These are the prisons, these are the crimes
Early, before the sun, they struggle off to the gates
In their secret fearful places they see their lives
Unravelling before them
March of flowers - march of dimes
These are the prisons, these are the crimes
Sound of thunder, sound of gold
Sound of the devil breaking parole
Ricochet it's not the end of the world

That's when they get home, damp eyed and weary
They smile and crush their children to their heaving chests
Making unfulfillable promises
For who can bear to be forgotten"
Without You,"Just when I'm ready to throw in my hand
Just when the best things in life are gone
I look into your eyes

There's no smoke without fire
You're exactly who I want to be with
Without you
What would I do

And when I'm willing to call it a day
Just when I won't take another chance
I hold your hand
There's no smoke without fire
Woman I love you
Without you
What would I do"
Modern Love,"I know when to go out
And when to stay in
Get things done

I catch a paper boy
But things don't really change
I'm standing in the wind
But I never wave bye-bye

But I try, I try

There's no sign of life
It's just the power to charm
I'm lying in the rain
But I never wave bye-bye

But I try, I try

Never gonna fall for (modern love)
Walks beside me (modern love)
Walks on by (modern love)
Gets me to the church on time (church on time)
Terrifies me (church on time)
Makes me party (church on time)
Puts my trust in god and man (God and man)
No confessions (God and man)
No religion (God and man)
Don't believe in modern love

It's not really work
It's just the power to charm
I'm still standing in the wind
But I never wave bye-bye

But I try, I try

Never gonna fall for (modern love)
Walks beside me (modern love)
Walks on by (modern love)
Gets me to the church on time (church on time)
Terrifies me (church on time)
Makes me party (church on time)
Puts my trust in god and man (God and man)
No confessions (God and man)
No religion (God and man)
Don't believe in modern love

(Modern love), (modern love), (modern love)

(Modern love) modern love walks beside me (modern love)
(Modern love) modern love walks on by (modern love)
(Modern love) modern love walks beside me (modern love)
(Modern love) modern love walks on by (modern love)
(Modern love) never gonna fall for (modern love)
(Modern love), (modern love), (modern love)"
Neighborhood Threat,"Down where your paint is cracking
Look down you backstair buddy
Somebody's living there and
He don't really feel the weather
And he don't share your pleasures
No he don't share your pleasures
Look at his eyes
Did you see his crazy eyes

You're so surprised he don't run to catch your ash
Everybody always wants to kiss your trash

Ah you can't help him
Nobody can
Now that he knows
There's nothing to get
Will you still place your bet
On the neighborhood threat

Somewhere a baby's bleeding
Somewhere a mother's needing
Outside a boy is lying
But mostly he is crying
And he just shouts in anger
You'll find him interesting
Look at his eyes
Did you see his crazy eyes
You're so surprised he doesn't build for you
Everybody always wants to run with you

Ah you can't help him
Nobody can
Now that he knows
There's nothing to get
Will you still place your bet
On the neighborhood threat

You're so surprised he don't run to catch your ash
Everybody always wants to kiss your trash

Ah you can't help him
Nobody can
Now that he knows
There's nothing to get
Will you still place your bet
On the neighborhood threat
On the neighborhood threat (a night in your face)
Don't place your bets (a night in your place)
On the neighborhood threat (will you still place your bets)
Don't place your bets (when the neighbor comes)
On the neighborhood threat (neighborhood threat)
Don't place yor bets
On the neighborhood threat"
Tonight (with  Tina Turner ) ,"Everything will be alright tonight
Everything will be alright tonight
No one moves
No one talks
No one thinks
No one walks tonight
Tonight
Everyone will be alright tonight
Everyone will be alright tonight
No one moves
No one talks
No one thinks
No one walks tonight
Tonight

I am gonna love you till the end
I will love you till I reach the end
I will love you till I die
I will see you in the sky
Tonight"
Dancing with the Big Boys,"Something's going on in society
(Dancing with the big boys)
You chew your fingers and stare at the floor
(Dancing with the big boys)
One wrong word and you're out of sync
Talking 'bout a hands on policy
(Big boys)
Death to the trees
(Dancing with the big boys)
They weren't bad, they weren't brave
Nothing is embarrassing
(Dancing with the big boys)
There are too many people, too much belief
(Dancing with the big boys)
Where there's trouble there's poetry
(Dancing with the big boys)
Your family is a football team
(Big boys)
This dot marks your location
(Dancing with the big boys)
Loneliness in a free society
(Dancing with the big boys)
(Big boys)
This can be embarrassing
(Big boys)
Dancing with the big boys
(Dancing with the big boys)
(Big boys)
(Big boys)"
Loving the Alien,"Watching them come and go
The Templars and the Saracens
They're traveling the holy land
Opening telegrams oh ho

Torture comes and torture goes
Knights who'd give you anything
They bear the cross of Coeur de Leon
Salvation for the mirror blind oh ho

But if you pray all your sins are hooked upon the sky
Pray and the heathen lie will disappear
Prayers they hide the saddest view
(Believing the strangest things, loving the alien)
And your prayers they break the sky in two
(Believing the strangest things, loving the alien)

Thinking of a different time
Palestine a modern problem
Bounty and your wealth in land
Terror in a best laid plan

Watching them come and go
Tomorrows and the yesterdays oh ho
Christians and the unbelievers
Hanging by the cross and nail oh ho

But if you pray all your sins are hooked upon the sky
Pray and the heathen lie will disappear oh ho
Prayers they hide the saddest view
(Believing the strangest things, loving the alien)
And your prayers they break the sky in two
(Believing the strangest things, loving the alien)
You pray till the break of dawn
(Believing the strangest things, loving the alien)
And you'll believe you're loving the alien
(Believing the strangest things, loving the alien)
Believeing the strangest things (loving the alien)"
Blue Jean,"Blue Jean
I just met a girl named Blue Jean

Blue Jean
She got a camouflaged face and no money
Remember they always let you down when you need 'em

Oh, Blue Jean 
Is heaven any sweeter than Blue Jean
She got a police bike
She got a turned up nose

Sometimes I feel like
(Oh, the whole human race)
Jazzin' for Blue Jean
(Oh, and when my Blue Jean's blue)
Blue Jean can send me
(Oh, somebody send me)
Somebody send me
(Oh, somebody send me)

One day I'm gonna write a poem in a letter
One day I'm gonna get that faculty together
Remember that everybody has to wait in line
For Blue Jean

Look out world you know I've got mine
She got Latin roots
She got everything

Sometimes I feel like
(Oh, the whole human race)
Jazzin' for Blue Jean
(Oh, and when my Blue Jean's blue)
Blue Jean can send me
(Oh, somebody send me)
Somebody send me
(Oh, somebody send me)

Sometimes I feel like
(Oh, the whole human race)
Jazzin' for Blue Jean
(Oh, and when my Blue Jean's blue)
Blue Jean can send me
(Oh, somebody send me)
Somebody send me
(Oh, somebody send me)

Somebody somebody
(Oh, somebody send me)
Somebody send me
(Oh, somebody send me)"
Tumble and Twirl,"I've seen the city
I took the next flight
For Borneo
They say it's pretty
I like the t-shirts
In Borneo
Some wear Bob Marley
Others in Playboy
Or Duvalier
Make the last plane come
Let me rise through the cloudy above
With a book on Borneo

Strangers come and go
It's such a waste of time
Problems far behind
Another day
But even in springtime
It's a rich slice of life
So send me a letter
I'll reply with a broken spear
That dusky mulatto
In nylons and tattoos
Hot juice in coke bottles
We dance in the sand
Well, they twirl and they tumble
Yes, they twirl and they tumble
Well, I'll twirl and I'll tumble

I've been to Leon's
He's got nine daughters
And a stereo
They say that Leon
Watches from the tree tops
In Borneo
When the road is mud
Everything stops with a thud
That's the way it goes down yonder in Borneo
Far beneath his mansion
There's an open drain
Sending all the sewage down the hill
But when the general shows movies
No one hesitates
To sneak from the jungle
They laugh and they mumble
Enjoying the show
And that dusky mulatto

Hot juice in coke bottles
In Blue Jeans and tattoos
Well, they twirl and they tumble
Yes, they twirl and they tumble
Well, I'll twirl and I'll tumble

I like the free world
They say it's pretty
This time of year
They tumble and twirl
They tumble and twirl
I'll tumble and twirl

They twirl and they tumble
They twirl and they tumble

I like the free world
I like the free world

They say it's pretty
This time of year
This time of year

Tumble and tumble

I like the free world"
This Is Not America ( Pat Metheny Group  & David Bowie) ,"This is not America, sha la la la la

A little piece of you
The little peace in me
Will die (This is not a miracle)
For this is not America

Blossom fails to bloom this season
Promise not to stare
Too long (This is not America)
For this is not the miracle

There was a time
A storm that blew so pure
For this could be the biggest sky
And I could have the faintest idea

For this is not America
Sha la la la la, sha la la la la, sha la la la la
This is not America, no
This is not, sha la la la la

Snowman melting from the inside
Falcon spirals to the ground
(This could be the biggest sky)
So bloody red, tomorrow's clouds

A little piece of you
The little piece in me
Will die (This could be a miracle)
For this is not America

There was a time
A wind that blew so young
For this could be the biggest sky
And I could have the faintest idea

For this is not America
Sha la la la la, sha la la la la, sha la la la la
This is not America, no
This is not, sha la la la

This is not America, no
This is not
This is not America, no
This is not, sha la la la"
Within You,"How you turn my world
You precious thing.
You starve and near exhaust me.

Everything I've done,
I've done for you.
I move the stars for no one.

You've run so long.
You've run so far.
Your eyes can be so cruel,
Just as I can be so cruel,
Oh I do believe in you.
Yes I do.

Live without your sunlight.
Love without your heartbeat.
(Falsetto) I... I...
Can't... live... within... you...

I can't live within you

I... I... Can't live within you"
Underground,"No one can blame you
For walking away.
Too much rejection.
No love injection.

Life can't be easy.
It's not always swell.
Don't tell me truth hurts, little girl,
'Cause it hurts like hell,

But down in the underground
You'll find someone true.
Down in the underground;
A land serene;
A crystal moon.
Ah...

It's only forever.
Not long at all.
Lost and lonely.
That's underground.
Underground.

Daddy, daddy, get me out of here.
Heard about a place today.
I, I'm underground.
Nothing ever hurts again.
Heard about a place today.
Daddy, get me out of here
Where nothing ever hurts again.
Daddy, daddy, get me out of here
I, I'm underground.
Sister, sister, please take me down.
I, I'm underground.
Daddy, daddy, get me out of here.

No one can blame you
For walking away.
Too much rejection.
No love injection.

Down in the underground
You'll find someone true.
Down in the underground;
A land serene;
A crystal moon.
Ah...

It's only...
It's only forever.
It's not long at all.
Lost and lonely.
That's underground.
Underground.

Daddy, daddy, get me out of here.
Heard about a place today.
Nothing never hurts again.
Daddy, daddy, get me out of here.
I'm, I'm underground.
Sister, sister, please take me down.
I'm, I'm underground.
Daddy, daddy, get me out.
Wanna live underground.
Wanna live underground.
Wanna live underground.
Wanna live underground.
Wanna live underground.
Wanna live underground.
Wanna live underground.
Wanna live underground.
Daddy, daddy, get me out of here.
I'm, I'm underground.
Sister, sister please take me down.
I, I'm underground.
I, I'm underground.
I, I'm underground.
Daddy, daddy, get me...
Daddy, daddy, get me...
Wanna live underground...
Sister, sister, take me down."
When the Wind Blows,"So long child, I'm on my way
And after all is done, after all is done
Don't be down, it's all in the past
Though you may be afraid

So long child, it's awful dark
And I've never felt the sun
I dread to think of when
When the wind blows
When the wind blows
When the wind blows
When the wind blows

Life burns a savage wound, angry and wrong
Trusting a twisted word, you'll run, run away
You'll take it all home
You'll spin a tall tale
But they won't believe you
No matter what you'll say

So long child, it's awful dark
I never felt the sun
I dread to think of when
When the wind blows
When the wind blows
When the wind blows
When the wind blows"
Magic Dance,"You remind me of the babe
(What babe?)
The babe with the power
(What power?)
The power of voodoo
(Who do?) 
You do
(Do what?) 
Remind me of the babe

I saw my baby, crying hard as babe could cry
What could I do?
My baby's love had gone
And left my baby blue
Nobody knew

What kind of magic spell to use
Slime and snails
Or puppy dog tails?
Thunder or lightning
Then baby said
Dance magic, dance (dance magic, dance)
Dance magic, dance (dance magic, dance)
Put that baby's spell on me
Jump magic, jump (jump magic, jump)
Jump magic, jump (jump magic, jump)
Put that magic jump on me
Slap that baby, make him free!

I saw my baby, trying hard as babe could try
What could I do?
My baby's fun had gone
And left my baby blue
Nobody knew

What kind of magic spell to use
Slime and snails
Or puppy dogs tails
Thunder or lightning
Then baby said:

Dance magic, dance (dance magic, dance) (x4)
Jump magic, jump (jump magic, jump) (x2)

Put that baby's spell on me (ooh)

You remind me of the babe
(What babe?)
The babe with the power
(What power?) 
The power of voodoo
(Who do?) 
You do
(Do what?) 
Remind me of the babe

Dance magic, dance, ooh ooh ooh
Dance magic, dance magic, ooh ooh ooh
Dance magic

What kind of magic spell to  use
Slime and snails
Or puppy dog tails
Thunder or lightning
Something frightening

Dance magic, dance
Dance magic, dance
Put that baby's spell on me
Jump magic, jump
Jump magic, jump
Put that magic jump on me
Slap that baby make him free
Dance magic, dance (dance magic, dance)
Dance magic, dance (dance magic, dance)
Dance magic, dance (dance magic, dance)
Dance magic, dance (dance magic, dance)
Jump magic, jump (jump magic, jump)
Jump magic, jump
Put that magic jump on me

Dance magic, dance (dance magic, dance)
Dance magic, dance (dance magic, dance)
Dance magic, dance
Slap that slap that baby make him free
Dance magic, dance (dance magic, dance) (repeat ad-lib)"
Absolute Beginners,"I've nothing much to offer
There's nothing much to take
I'm an absolute beginner
And I'm absolutely sane
As long as we're together
The rest can go to hell
I absolutely love you
But we're absolute beginners
With eyes completely open
But nervous all the same

If our love song
Could fly over mountains
Could laugh at the ocean
Just like the films
There's no reason
To feel all the hard times
To lay down the hard lines
It's absolutely true

Nothing much could happen
Nothing we can't shake
Oh we're absolute beginners
With nothing much at stake
As long as you're still smiling
There's nothing more I need
I absolutely love you
But we're absolute beginners
But if my love is your love
We're certain to succeed

If our love song
Could fly over mountains
Sail over heartaches
Just like the films
If there's reason
To feel all the hard times
To lay down the hard lines
It's absolutely true"
As the World Falls Down,"There's such a sad love
Deep in your eyes
A kind of pale jewel
Open and closed
Within your eyes
I'll place the sky
Within your eyes

There's such a fooled heart
Beatin' so fast
In search of new dreams
A love that will last
Within your heart
I'll place the moon
Within your heart

As the pain sweeps through
Makes no sense for you
Every thrill is gone
Wasn't too much fun at all
But I'll be there for you-ou-ou
As the world falls down

Falling
Falling down
Falling in love

I'll paint you mornings of gold
I'll spin you Valentine evenings
Though we're strangers 'til now
We're choosing the path
Between the stars
I'll leave my love
Between the stars

As the pain sweeps through
Makes no sense for you
Every thrill is gone
Wasn't too much fun at all
But I'll be there for you-ou-ou
As the world falls down

Falling
As the world falls down
Falling
As the world falls down
Falling
Falling
Falling
Falling in love
As the world falls down
Falling
Falling
Falling
Falling
Falling in love
As the world falls down
Makes no sense at all
Makes no sense to fall
Falling
As the world falls down
Falling
Falling in love
As the world falls down
Falling
Falling
Falling in love
As the world falls down"
Chilly Down,"When the sun goes down (when the sun goes down)
 And the bats are back to bed (and the bats are back)
 The brothers come 'round (the brothers come 'round)
 I get out of my dirty bed (my dirty bed)
 I shake my pretty little head (I shake my pretty little head)
 Tap my pretty little feet (tap my pretty little feet)
 Feeling brighter than sunlight (oh)
 Louder than thunder (oh)
 Bouncing like a yo-yo, wooh (oh)

 Don't got no problems (no problems)
 Ain't got no suitcase (no suitcase)
 Ain't got no clothes to worry about (no clothes to worry about)
 Ain't got no real estate or jewelry or gold mines to hang me up.

 I just throw in my hand (throw in my hand)
 With the chilliest bunch in the land (in the land)
 They don't look much (oh)
 They sure chilly chilly (oh)
 They positively glow glow, huh (oh)

 Chilly down with the fire gang
 Think small with the fire gang (It's the only way)
 Bad hep with the fire gang (a smile a day keeps the doctor away)
 When your thing gets wild
 Chilly down

 Chilly down with the fire gang (Hey, I'm a wild child)
 Act tall with the fire gang (whoo, walk tall)
 Good times, bad food (yeah)
 When your thing gets wild
 Chilly down, chilly down

 Drive you crazy, really lazy, eye rollin', funky strollin', ball playin'
 Hip swayin', trouble makin', booty shakin', tripping, passing, jumping
 Bouncing, drivin', stylin', creeping, pouncing, shoutin', screamin'
 Double dealin', rockin', rollin', and a reelin'
 With the mackin' sex appealin'.
 Can you dig our groovy feelin'?

 So when things get too tough (get too tough)
 And your chin is dragging on the ground (dragging on the ground) 
 And even down looks up (down looks up)
 Bad luck heh heh,
 We can show you a good time (show you a good time)
 And we don't charge nothin' (nothin' at all)
 Just strut your nasty stuff,
 Wiggle in the middle yeh
 Get the town talkin', fire gang

 Chilly down with the fire gang (think small)
 Think small with the fire gang
 Bad hep with the fire gang (hey, listen up)
 When your thing gets wild
 Chilly down

 Chilly down with the fire gang (hey, shake your pretty little head)
 Act Tall with the fire gang (tap your pretty little feet)
 Good times, bad food (come on, come on)
 When your thing gets wild
 Chilly down

 Chilly down with the fire gang (wooh)
 Think small with the fire gang
 Bad hep with the fire gang"
